blue_gold,blue_dragons,blue_towers_destroyed,blue_kills,blue_total_level,red_gold,red_dragons,red_towers_destroyed,red_kills,red_total_level,game_duration,win
29412,1,1,15,47,27914,0,1,9,48,949,1
57838,1,8,20,73,53039,2,4,18,70,1722,1
12078,0,0,6,25,10508,0,0,4,23,387,1
46719,3,8,20,63,37801,0,3,6,57,1354,1
40740,0,3,11,59,53072,2,8,36,69,1311,0
38226,0,1,11,59,51913,2,9,25,67,1390,0
3291,0,0,0,8,4078,0,0,1,9,150,0
34487,2,1,16,54,26843,0,0,5,48,1024,1
85575,0,1,76,90,92344,0,4,104,90,1555,0
53538,2,7,35,68,42750,1,1,19,62,1428,1
27216,1,0,10,49,23511,0,0,2,45,911,1
56257,1,7,33,72,46328,2,1,17,66,1640,1
48465,1,4,31,68,41679,2,5,13,58,1407,1
40912,0,1,14,62,54757,4,11,22,69,1416,0
30710,0,0,20,49,35365,0,1,39,54,502,0
53206,2,2,20,71,66520,2,11,29,82,1829,0
60639,2,10,35,74,48901,2,2,19,69,1607,1
54555,3,7,33,69,39807,1,1,17,61,1409,1
44973,0,2,25,60,55197,4,9,34,67,1449,0
24653,0,1,8,42,33893,1,1,26,49,912,0
35000,0,3,13,54,32206,2,1,11,53,1113,1
58491,3,4,20,73,64545,2,8,30,80,1909,0
71704,2,7,45,84,65207,2,5,34,79,2131,1
55848,2,9,30,71,43430,1,2,14,64,1457,1
52989,2,4,16,70,67771,2,9,39,82,1860,0
44457,2,5,19,62,38285,1,2,10,57,1267,1
22593,1,0,12,42,17471,0,0,3,36,714,1
44335,2,5,29,60,33216,0,1,8,53,1217,1
50588,0,7,37,67,42868,3,2,28,60,1269,1
32974,1,4,13,53,29708,1,2,6,50,971,1
61376,0,4,57,82,53566,0,1,43,78,960,1
35528,1,3,23,48,25030,1,0,9,42,911,1
38818,2,3,32,53,33668,0,2,17,46,1087,1
28919,1,3,7,50,21523,0,0,3,45,914,1
44510,1,1,20,62,58401,2,10,41,72,1540,0
55658,3,8,37,71,44087,0,2,22,63,1516,1
51849,2,8,32,68,44557,1,3,17,61,1462,1
64340,4,4,36,77,69470,0,10,31,78,2032,0
48247,2,5,28,64,40941,0,2,23,55,1269,1
68274,2,10,35,80,52993,2,2,17,74,1845,1
72120,2,7,31,83,73151,4,7,39,85,2274,0
38376,1,3,18,55,32646,1,0,10,53,1205,1
60581,1,9,35,74,50920,2,4,25,67,1678,1
43205,0,1,22,59,52824,3,9,32,67,1427,0
66629,2,10,44,79,55500,2,3,26,72,1764,1
55761,1,10,25,72,41763,3,2,13,62,1472,1
63319,3,9,39,77,52473,1,4,22,67,1706,1
35528,1,4,21,48,25525,0,0,12,42,912,1
57385,1,8,32,74,49006,2,3,26,65,1582,1
40554,2,2,14,59,53883,2,9,34,67,1387,0
41048,0,1,14,62,46330,3,4,27,63,1370,0
23654,0,0,6,43,35810,1,5,21,51,915,0
34472,2,4,18,50,25220,0,0,6,46,918,1
56906,3,6,38,74,49689,1,3,22,65,1563,1
40640,2,3,17,63,37425,1,2,13,57,1233,1
24568,0,0,8,45,33012,2,2,21,49,913,0
57156,2,7,30,72,45390,1,2,16,64,1586,1
50395,0,5,12,69,62618,3,10,31,77,1774,0
59035,0,11,39,69,45613,2,0,20,65,1464,1
58491,3,4,20,73,64545,2,8,30,80,1909,0
52790,1,8,22,71,47255,3,3,21,64,1487,1
44912,1,3,19,60,56465,2,9,37,68,1484,0
38336,1,4,18,55,29799,2,0,10,51,1147,1
43141,0,3,16,62,50493,4,5,25,69,1408,0
56334,2,9,19,71,43385,2,1,10,63,1587,1
42025,1,8,21,57,33732,0,1,12,50,1141,1
70016,2,11,46,79,65350,2,2,36,78,1930,1
56694,1,2,27,74,67636,2,10,41,81,1781,0
52453,3,3,23,66,64281,1,11,39,77,1684,0
34454,2,3,28,49,25010,0,0,8,43,920,1
71630,1,8,49,81,58826,3,5,22,70,1860,1
38044,0,3,8,56,45640,2,4,19,67,1304,0
36212,2,5,25,49,23257,0,0,8,44,925,1
54496,3,11,23,71,42206,0,1,9,66,1503,1
69291,5,11,21,84,65360,0,6,27,79,1956,1
33518,1,3,17,52,26392,0,0,7,47,966,1
32214,1,3,17,50,25925,1,0,7,46,970,1
69561,1,10,29,80,65555,3,6,23,76,1954,1
83580,4,8,36,88,74183,2,4,27,84,2557,1
29492,1,0,10,52,31317,1,3,10,51,1007,0
59035,0,11,39,69,45613,2,0,20,65,1464,1
38053,1,3,20,55,31508,1,0,10,52,1101,1
34105,1,1,12,54,42239,2,7,23,57,1136,0
60502,3,10,25,74,46323,1,1,14,62,1690,1
50460,3,4,21,65,58289,0,10,31,72,1538,0
3070,0,0,1,5,2505,0,0,0,5,102,1
49895,0,3,19,68,58356,2,7,27,72,1617,0
55139,3,5,18,71,61947,1,6,30,75,1780,0
56098,1,3,27,69,66847,3,8,45,75,1754,0
64868,2,5,49,77,62398,3,3,36,73,1823,1
67765,1,11,28,78,61157,4,4,27,77,1962,1
52453,3,3,23,66,64281,1,11,39,77,1684,0
34454,2,3,28,49,25010,0,0,8,43,920,1
71630,1,8,49,81,58826,3,5,22,70,1860,1
54059,2,2,22,72,67923,2,7,41,79,1927,0
33352,1,4,14,48,23494,0,0,6,43,916,1
59547,2,10,39,72,46683,1,1,22,66,1513,1
61791,3,9,23,80,52692,2,3,10,72,1871,1
61292,1,7,39,74,49542,3,1,19,68,1731,1
65095,3,7,32,81,61438,1,6,18,75,1958,1
35414,2,4,18,53,27248,0,0,5,50,1021,1
45854,2,9,25,62,34874,0,1,9,56,1248,1
32238,2,2,19,52,26068,0,0,8,47,966,1
65377,2,9,28,80,56228,3,5,18,74,1903,1
42225,1,2,16,60,56441,2,10,32,69,1425,0
67280,4,9,53,75,56462,0,4,32,69,1665,1
48373,0,2,18,67,61363,3,8,29,74,1587,0
35672,0,4,22,50,21899,1,0,3,43,923,1
23267,0,1,5,43,34253,1,4,15,53,960,0
30484,0,2,12,50,36092,1,4,14,56,1035,0
58491,3,4,20,73,64545,2,8,30,80,1909,0
24855,0,0,5,45,32539,1,1,21,50,918,0
50090,2,6,20,68,45095,1,3,13,62,1539,1
74475,2,2,32,87,79083,4,11,44,86,2271,0
31833,2,4,12,49,24349,0,0,6,45,928,1
47995,0,3,17,63,47246,4,3,21,67,1641,0
45684,0,6,19,61,33322,2,0,7,56,1266,1
47805,2,5,26,65,43174,1,2,11,62,1524,1
64323,3,6,26,77,74061,2,7,44,82,2045,0
49037,0,2,22,66,59423,3,8,36,74,1571,0
61921,2,11,32,72,46075,1,1,18,63,1636,1
36959,0,4,22,53,28429,1,0,9,49,1041,1
76072,3,9,39,85,71334,3,4,34,85,2156,1
62295,2,8,32,75,54297,2,1,37,69,1736,1
47620,0,8,27,63,38664,2,2,17,57,1315,1
70872,4,7,28,81,76725,2,9,33,85,2264,0
65230,2,9,37,77,55902,2,3,25,71,1768,1
76072,3,9,39,85,71334,3,4,34,85,2156,1
62295,2,8,32,75,54297,2,1,37,69,1736,1
47620,0,8,27,63,38664,2,2,17,57,1315,1
70872,4,7,28,81,76725,2,9,33,85,2264,0
65230,2,9,37,77,55902,2,3,25,71,1768,1
32293,1,1,13,50,39526,1,3,24,57,1128,0
62089,4,7,32,76,51645,0,3,12,70,1774,1
69322,3,11,43,83,61302,1,5,34,78,1922,1
64241,3,9,44,76,54636,0,5,24,70,1745,1
61900,2,5,32,75,65824,2,6,48,79,1880,0
43520,1,1,18,59,55642,2,8,35,68,1380,0
46464,1,6,22,62,35611,2,0,14,55,1280,1
50644,1,6,19,67,56837,3,10,30,74,1639,0
68414,2,11,31,83,62717,3,8,23,79,1920,1
52383,0,3,23,71,61648,3,7,39,76,1709,0
42151,2,4,14,60,45763,0,4,17,65,1330,0
23112,1,0,5,45,35797,1,3,21,52,912,0
65204,3,8,29,80,69228,1,8,37,84,1973,0
69640,0,7,40,78,70184,4,7,38,81,2095,0
63501,0,5,29,74,68315,4,5,38,80,1865,0
57760,1,4,23,75,69993,4,8,43,84,1914,0
62447,2,8,35,76,55921,2,3,27,69,1718,1
66629,2,10,44,79,55500,2,3,26,72,1764,1
53415,2,9,36,68,38748,0,2,13,58,1355,1
37246,0,1,16,56,48616,2,8,28,62,1232,0
51780,2,5,22,69,61365,2,11,34,72,1623,0
31429,2,2,20,50,23634,0,0,6,45,913,1
73307,3,10,39,82,65324,2,2,34,81,1960,1
66802,1,3,28,80,80749,4,9,53,87,2131,0
31720,1,0,22,50,24603,0,0,4,45,937,1
48108,1,3,22,64,56469,2,7,31,70,1520,0
41942,2,3,18,61,39354,1,2,11,57,1345,1
66257,3,6,26,80,71716,2,9,31,83,2041,0
32611,2,2,21,50,22931,0,0,4,44,917,1
61274,3,9,33,77,53302,0,3,19,67,1686,1
70413,3,8,35,83,68246,2,3,32,80,2104,1
44257,3,5,29,62,34393,0,0,12,55,1217,1
48820,3,3,18,66,61304,1,9,37,76,1591,0
31986,1,1,21,50,27717,1,0,11,48,953,1
40740,0,3,11,59,53072,2,8,36,69,1311,0
33875,2,2,22,52,25725,0,0,6,46,948,1
73153,1,7,39,82,80701,4,7,50,84,2109,0
55820,1,10,38,65,44210,1,2,22,58,1383,1
46604,2,5,32,60,35075,0,1,14,54,1219,1
58436,1,11,38,74,43376,2,1,19,63,1516,1
38314,1,2,7,59,49210,2,6,25,64,1323,0
63952,3,10,36,77,60334,0,6,37,75,1748,1
32016,1,1,21,51,29517,0,1,13,48,971,1
45702,0,2,20,64,52031,3,7,23,66,1520,0
65413,3,9,38,79,58593,1,1,26,75,1839,1
46324,2,3,17,65,55590,2,9,28,71,1536,0
25237,0,0,8,43,36446,2,3,31,50,933,0
42224,1,6,27,57,32353,1,2,16,51,1099,1
69849,2,10,29,81,67507,2,3,26,82,2081,1
83993,5,11,36,90,76915,1,8,33,85,2506,1
61287,1,6,21,71,66524,3,9,30,79,1955,0
53645,1,9,31,69,42238,2,2,18,60,1403,1
22078,0,0,7,41,36023,1,3,29,50,914,0
87836,2,7,45,88,85381,4,11,38,89,2517,0
47508,0,3,14,65,63016,4,11,25,76,1712,0
45717,1,3,22,64,42463,1,4,16,56,1380,1
37545,0,0,11,61,50211,3,10,22,65,1381,0
86453,4,11,48,87,73061,1,4,35,83,2467,1
68956,2,6,30,81,77595,3,10,46,84,2126,0
52514,1,3,12,71,65097,3,8,28,78,1813,0
